message,true_intent,agent_intent,trivial_intent,keyword_intent,agent_correct,keyword_correct,trivial_correct
@AmazonHelp What is ^HA?,TECHNICAL_ISSUE,PRODUCT_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,False,False,False
@AmazonHelp Am I ok to stick the label on and send it back then?,RETURN_REFUND,RETURN_REFUND,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,False,False
"@118706 If you are going to lie about delivering @115821 PACKAGES claiming people are not home to receive them, let  customers know#pissed",DELIVERY_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,ORDER_STATUS,False,False,False
@AmazonHelp This is the 12th time in the past 6 months that @115850 is apologising for late delivery! Talk about consistency. And till when am I suppo,DELIVERY_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,RETURN_REFUND,False,False,False
Definitely think @115830 packed this item efficiently......... https://t.co/SlzoVmzeF5,CUSTOMER_COMPLAINT,PRODUCT_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,False,True,True
@AmazonHelp is there an issue with Amazon video today as I can't access it thanks,TECHNICAL_ISSUE,TECHNICAL_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,False,False
.@116316 ich habe winter Kindle Fire beststellt. Diese habe ich bekommt. Kundendienst sagte 3 Woche für ein Neue. https://t.co/dGuVhTdQYW,PRODUCT_ISSUE,PRODUCT_ISSUE,CUSTOMER_COMPLAINT,TECHNICAL_ISSUE,True,False,False
"@132976 Suuuuuuuuu
 Gracias @116618  por traer esto de vuelta.",RETURN_REFUND,RETURN_REFUND,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,False,False
"@117634 Having trouble launching the Kindle app on my MacBook Air running macOS Sierra 10.12.6. I'm running latest version, downloaded today. Launch s",TECHNICAL_ISSUE,TECHNICAL_ISSUE,CUSTOMER_COMPLAINT,TECHNICAL_ISSUE,True,True,False
@AmazonHelp Es de Amazon logistic México !,DELIVERY_ISSUE,DELIVERY_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,False,False
"@117086 eu fiz uma compra no valor de R$ 54,40 (nº702-4506118-7379460)
 e foi debitado R$55,40 (R$54,40+R$1,00). Qual o motivo desse 1,00?",PAYMENT_ISSUE,PAYMENT_ISSUE,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,False,False
@AmazonHelp This 3 images shows that the mention order has been returned on 16-11-17 and therefore I filled a Safe T claim on 18-11-17 and my claim go,RETURN_REFUND,RETURN_REFUND,CUSTOMER_COMPLAINT,ORDER_STATUS,True,False,False
@115830 I ordered a set of three suitcases on Black Friday. Only one has turned up. Can you fix this?,DELIVERY_ISSUE,DELIVERY_ISSUE,CUSTOMER_COMPLAINT,ORDER_STATUS,True,False,False
"@AmazonHelp Hi, I’ve got some information I wanna send who do I send it too? I think you have staff that and doing dodgy stuff",CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,True,True
@115850 I will sue you in the court .. what a disgusting and unprofessional behaviour,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,CUSTOMER_COMPLAINT,True,True,True
