customer_message,actual_reply,agent_draft,overall_score,human_score
@AmazonHelp What is ^HA?,@352294 These are our signatures on Twitter. ^RI,These are our Twitter signature codes. ^RI,4.4,
@AmazonHelp Am I ok to stick the label on and send it back then?,"@246249 Hi Mark, that shouldn't be an issue. What company is being used for the return? ^JJ",@123456 Hi! You can absolutely attach the prepaid return label and ship the item back. Drop it at the nearest carrier location and we’ll process your refund. Need help finding the label or have any ot,5.0,
"@118706 If you are going to lie about delivering @115821 PACKAGES claiming people are not home to receive them, let  customers know#pissed",@703024 I'm sorry to hear about this! Late packages are usually delivered by 8PM on the following business day. Please keep us posted! ^JS,"Hi @118706, I’m sorry to hear about this. Could you please share your order number or tracking ID so we can investigate? We’ll look into it right away.",4.4,
@AmazonHelp This is the 12th time in the past 6 months that @115850 is apologising for late delivery! Talk about consistency. And till when am I supposed to be without my phone which I hv left home fo,@217411 I get your disappointment. I'll forward your feedback to our team internally get it reviewed. Request (1/2) ^GK,"I’m sorry you’ve had to deal with repeated delays. To help resolve this quickly, could you share your order number or tracking ID? We’ll expedite the exchange and keep you updated. Thank you for your ",4.6,
Definitely think @115830 packed this item efficiently......... https://t.co/SlzoVmzeF5,"@312144 Oh wow! I'm so sorry about this, Rob! Please provide us with some more packaging details here: https://t.co/aaz5xAbEbN. ^SD",@123456 I’m sorry to hear about the packaging. Could you share more details or a photo? Please let us know via https://t.co/aaz5xAbEbN. We’ll work to resolve this promptly. Thanks for your patience.,4.4,
@AmazonHelp is there an issue with Amazon video today as I can't access it thanks,"@528895 Hello, Ian! Could you let us know what platform you are attempting to watch Amazon Video on? ^MW","Hi! Sorry to hear you’re having trouble with Amazon Video. Could you let us know which device or app you’re using (e.g., app, web, Fire TV, etc.)? We’ll check for any service disruptions and get back ",4.6,
.@116316 ich habe winter Kindle Fire beststellt. Diese habe ich bekommt. Kundendienst sagte 3 Woche für ein Neue. https://t.co/dGuVhTdQYW,"@599002 Was meinst du denn mit ""Winter Kindle Fire""? Bitte schick uns mal den Link. ^BL","@116316 I’m sorry you’re experiencing this issue. To help you with a return or refund, could you please share your order number or the date of purchase? Once we have that, we can process it quickly. T",4.4,
"@132976 Suuuuuuuuu
 Gracias @116618  por traer esto de vuelta.",@672304 Hola. ¡Esperamos que lo disfrutes! 😍😆 ^DB,"Hola @132976, sentimos que el producto no cumplió con tus expectativas. Para iniciar el proceso de devolución y reembolso, por favor comparte el número de pedido o el nombre del artículo. ¡Gracias!",3.4,
"@117634 Having trouble launching the Kindle app on my MacBook Air running macOS Sierra 10.12.6. I'm running latest version, downloaded today. Launch screen stuck on ""Initializing..."" Got any advice? T","@674375 I'm sorry for the Kindle app issues! I'd recommend restarting the computer, as well as reinstalling the app! If that doesn't work, we'd like to try some real-time troubleshooting with you here","Sorry for the trouble. Please try: 1) Restart your Mac, 2) Delete the Kindle app from /Applications, 3) Re‑install from the App Store. If it still shows “Initializing”, let us know if any error appear",4.4,
@AmazonHelp Es de Amazon logistic México !,"@284276 En este caso te puedes poner en contacto con los transportistas para tener más información, por favor entra al siguiente link: https://t.co/31MPGGW7Pk. ^NP","Lo sentimos por la inconveniencia. Por favor, póngase en contacto con los transportistas para más información. Puede usar este enlace: https://t.co/31MPGGW7Pk",5.0,
