conversation_id,customer_tweet_id,customer_message,customer_author,brand_tweet_id,brand_reply
,1721608,@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL,520984,1721607,@520984 I'm sorry for the mix-up! Please contact us so we can look into this and review options: https://t.co/hApLpMlfHN ^WT
,665592,@AmazonHelp 2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?,242837,665591,@242837 Que dit le suivi de votre colis s'il vous plaît ? ^MA
,820663,@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,315479,820661,"@315479 To confirm, has your account been closed or has it been locked pending account information verification? ^EZ"
,2110004,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,622478,2110003,"@622478 We greatly appreciate your honesty! Please provide your info here: https://t.co/e1bGy9Xhvk, so we look into this for you. ^JN"
,399101,@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle,210361,399100,@210361 Usually the products are delivered by the estimated delivery date. Could you let me know if we've missed it? ^AU
,379365,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,206017,379369,"@206017 Apologies for the delay, I'd like to look into this, kindly drop in your details here:https://t.co/beaaDm0muc and 1/2 ^EM"
,2262990,@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,229000,2262988,@229000 I'm sorry to hear about this! Have you received an e-mail regarding any type of delay? ^VB
,457656,@AmazonHelp Amazon shipping.,119036,457654,@119036 Thanks for confirming with us! We'd like to look into this with you in more detail. Please reach out to us here: https://t.co/JzP7hlA23B so we can investigate! ^VB
,1856105,@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,555171,1856107,@555171 Thanks. Do keep us posted. ^HK
,1290402,@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD,421770,1290404,"@421770 Hello, Alanna! We want to help! Contact us here so we can get your Smart Home set up: https://t.co/hApLpMlfHN ^EA"
,2113644,@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,623202,2113646,"@623202 Give us a call, Chelsey, and we'll get this taken care of for you. Here's a link to help:  https://t.co/JzP7hlA23B ^EM"
,485273,@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,230457,485275,@230457 Have you checked your emails to see if there was an email update? I would recommend checking the spam folders as well as the inbox.^BZ
,1177151,@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,396878,1177148,"@396878 That's certainly not the experience we want for our customers. To escalate this, please fill out: https://t.co/YR1ZlJwzJJ ^BE"
