customer_message,actual_reply,agent_draft,intent,relevance,tone,actionability,accuracy,conciseness,overall_score,better_than_actual,explanation,human_score
@AmazonHelp What is ^HA?,@352294 These are our signatures on Twitter. ^RI,These are our Twitter signature codes. ^RI,TECHNICAL_ISSUE,5,4,3,5,5,4.4,False,"The reply directly answers the customer’s question about ^HA, matching the intent of the original response, but it lacks a next‑step suggestion and a touch of empathy.",
@AmazonHelp Am I ok to stick the label on and send it back then?,"@246249 Hi Mark, that shouldn't be an issue. What company is being used for the return? ^JJ",@123456 Hi! You can absolutely attach the prepaid return label and ship the item back. Drop it at the nearest carrier location and we’ll process your refund. Need help finding the label or have any ot,RETURN_REFUND,5,5,5,5,5,5.0,False,"The draft directly answers the customer’s question, offers clear next steps, and maintains a friendly, professional tone. It is concise and accurate, matching or exceeding the brevity and correctness of the actual reply.",
"@118706 If you are going to lie about delivering @115821 PACKAGES claiming people are not home to receive them, let  customers know#pissed",@703024 I'm sorry to hear about this! Late packages are usually delivered by 8PM on the following business day. Please keep us posted! ^JS,"Hi @118706, I’m sorry to hear about this. Could you please share your order number or tracking ID so we can investigate? We’ll look into it right away.",DELIVERY_ISSUE,4,4,5,5,4,4.4,True,"The draft is more actionable by requesting order details and offering investigation, while maintaining empathy and accuracy. It is slightly longer but still concise enough for Twitter.",
@AmazonHelp This is the 12th time in the past 6 months that @115850 is apologising for late delivery! Talk about consistency. And till when am I supposed to be without my phone which I hv left home fo,@217411 I get your disappointment. I'll forward your feedback to our team internally get it reviewed. Request (1/2) ^GK,"I’m sorry you’ve had to deal with repeated delays. To help resolve this quickly, could you share your order number or tracking ID? We’ll expedite the exchange and keep you updated. Thank you for your ",ORDER_STATUS,4,5,4,5,5,4.6,True,"The draft acknowledges the issue, asks for order details, and promises to expedite the exchange, which is more helpful than the original reply. It is empathetic, accurate, and concise for Twitter.",
Definitely think @115830 packed this item efficiently......... https://t.co/SlzoVmzeF5,"@312144 Oh wow! I'm so sorry about this, Rob! Please provide us with some more packaging details here: https://t.co/aaz5xAbEbN. ^SD",@123456 I’m sorry to hear about the packaging. Could you share more details or a photo? Please let us know via https://t.co/aaz5xAbEbN. We’ll work to resolve this promptly. Thanks for your patience.,CUSTOMER_COMPLAINT,4,4,4,5,5,4.4,False,"The draft addresses the packaging issue, offers a clear next step, and maintains a professional tone, but it is slightly less personalized than the actual reply.",
@AmazonHelp is there an issue with Amazon video today as I can't access it thanks,"@528895 Hello, Ian! Could you let us know what platform you are attempting to watch Amazon Video on? ^MW","Hi! Sorry to hear you’re having trouble with Amazon Video. Could you let us know which device or app you’re using (e.g., app, web, Fire TV, etc.)? We’ll check for any service disruptions and get back ",TECHNICAL_ISSUE,4,5,5,5,4,4.6,True,"The draft is highly relevant, empathetic, and offers a clear next step, making it an improvement over the ground truth. It is slightly longer but still concise enough for Twitter.",
.@116316 ich habe winter Kindle Fire beststellt. Diese habe ich bekommt. Kundendienst sagte 3 Woche für ein Neue. https://t.co/dGuVhTdQYW,"@599002 Was meinst du denn mit ""Winter Kindle Fire""? Bitte schick uns mal den Link. ^BL","@116316 I’m sorry you’re experiencing this issue. To help you with a return or refund, could you please share your order number or the date of purchase? Once we have that, we can process it quickly. T",RETURN_REFUND,4,4,4,5,5,4.4,True,"The draft acknowledges the issue and requests order details, which is relevant and actionable, but it doesn't mention the 3‑week replacement timeline. Overall it is slightly better than the original reply.",
"@132976 Suuuuuuuuu
 Gracias @116618  por traer esto de vuelta.",@672304 Hola. ¡Esperamos que lo disfrutes! 😍😆 ^DB,"Hola @132976, sentimos que el producto no cumplió con tus expectativas. Para iniciar el proceso de devolución y reembolso, por favor comparte el número de pedido o el nombre del artículo. ¡Gracias!",RETURN_REFUND,2,4,4,2,5,3.4,False,"The draft misinterprets the customer’s intent, offering a return process that isn’t requested, but it is empathetic and concise.",
"@117634 Having trouble launching the Kindle app on my MacBook Air running macOS Sierra 10.12.6. I'm running latest version, downloaded today. Launch screen stuck on ""Initializing..."" Got any advice? T","@674375 I'm sorry for the Kindle app issues! I'd recommend restarting the computer, as well as reinstalling the app! If that doesn't work, we'd like to try some real-time troubleshooting with you here","Sorry for the trouble. Please try: 1) Restart your Mac, 2) Delete the Kindle app from /Applications, 3) Re‑install from the App Store. If it still shows “Initializing”, let us know if any error appear",TECHNICAL_ISSUE,4,4,4,5,5,4.4,False,"The draft addresses the problem and gives clear steps, but it omits the real‑time troubleshooting link that the official reply provides, making it slightly less actionable.",
@AmazonHelp Es de Amazon logistic México !,"@284276 En este caso te puedes poner en contacto con los transportistas para tener más información, por favor entra al siguiente link: https://t.co/31MPGGW7Pk. ^NP","Lo sentimos por la inconveniencia. Por favor, póngase en contacto con los transportistas para más información. Puede usar este enlace: https://t.co/31MPGGW7Pk",CUSTOMER_COMPLAINT,5,5,5,5,5,5.0,True,"The draft fully addresses the issue, offers a clear next step, and maintains a professional tone while being concise. It improves upon the original by adding an apology, making it slightly better.",
