id,customer_message,brand_reply,sampling_reason,label_intent,label_confidence,label_escalate,label_escalation_reason,human_verified,human_intent,human_escalate,notes
0,@AmazonHelp What is ^HA?,@352294 These are our signatures on Twitter. ^RI,random,TECHNICAL_ISSUE,0.62,False,Message ambiguous but most closely resembles a technical query,True,TECHNICAL_ISSUE,False,
1,@AmazonHelp Am I ok to stick the label on and send it back then?,"@246249 Hi Mark, that shouldn't be an issue. What company is being used for the return? ^JJ",random,RETURN_REFUND,0.97,False,Not a legal threat or angry complaint; standard return question.,True,RETURN_REFUND,False,
2,"@118706 If you are going to lie about delivering @115821 PACKAGES claiming people are not home to receive them, let  customers know#pissed",@703024 I'm sorry to hear about this! Late packages are usually delivered by 8PM on the following business day. Please keep us posted! ^JS,random,DELIVERY_ISSUE,0.96,True,Customer is extremely angry about alleged false delivery claims,True,DELIVERY_ISSUE,True,
3,@AmazonHelp This is the 12th time in the past 6 months that @115850 is apologising for late delivery! Talk about consistency. And till when am I supposed to be without my phone which I hv left home for exchange?,@217411 I get your disappointment. I'll forward your feedback to our team internally get it reviewed. Request (1/2) ^GK,random,DELIVERY_ISSUE,0.94,False,Customer is upset about repeated late deliveries but no legal threat or payment dispute.,True,DELIVERY_ISSUE,False,
4,Definitely think @115830 packed this item efficiently......... https://t.co/SlzoVmzeF5,"@312144 Oh wow! I'm so sorry about this, Rob! Please provide us with some more packaging details here: https://t.co/aaz5xAbEbN. ^SD",random,DELIVERY_ISSUE,0.72,False,"Not a complaint or request; positive comment about packaging, handled automatically.",True,CUSTOMER_COMPLAINT,False,
5,@AmazonHelp is there an issue with Amazon video today as I can't access it thanks,"@528895 Hello, Ian! Could you let us know what platform you are attempting to watch Amazon Video on? ^MW",random,TECHNICAL_ISSUE,0.96,False,"User is asking about a service access problem, not a severe or angry issue.",True,TECHNICAL_ISSUE,False,
6,.@116316 ich habe winter Kindle Fire beststellt. Diese habe ich bekommt. Kundendienst sagte 3 Woche für ein Neue. https://t.co/dGuVhTdQYW,"@599002 Was meinst du denn mit ""Winter Kindle Fire""? Bitte schick uns mal den Link. ^BL",random,PRODUCT_ISSUE,0.92,False,,True,PRODUCT_ISSUE,False,
7,"@132976 Suuuuuuuuu
 Gracias @116618  por traer esto de vuelta.",@672304 Hola. ¡Esperamos que lo disfrutes! 😍😆 ^DB,random,RETURN_REFUND,0.42,False,"Message is a thank you note, not a clear issue; closest intent is related to returns.",True,RETURN_REFUND,False,
8,"@117634 Having trouble launching the Kindle app on my MacBook Air running macOS Sierra 10.12.6. I'm running latest version, downloaded today. Launch screen stuck on ""Initializing..."" Got any advice? Thanks in advance! https://t.co/HJ4PqeGIf6","@674375 I'm sorry for the Kindle app issues! I'd recommend restarting the computer, as well as reinstalling the app! If that doesn't work, we'd like to try some real-time troubleshooting with you here: https://t.co/hApLpMlfHN
Let us know if this helps! ^WT",random,TECHNICAL_ISSUE,0.97,False,"Not a legal, payment, or highly angry complaint; standard technical assistance can handle.",True,TECHNICAL_ISSUE,False,
9,@AmazonHelp Es de Amazon logistic México !,"@284276 En este caso te puedes poner en contacto con los transportistas para tener más información, por favor entra al siguiente link: https://t.co/31MPGGW7Pk. ^NP",random,CUSTOMER_COMPLAINT,0.62,False,Message is ambiguous but appears to be a complaint about Amazon logistics.,True,DELIVERY_ISSUE,False,
10,"@117086 eu fiz uma compra no valor de R$ 54,40 (nº702-4506118-7379460)
 e foi debitado R$55,40 (R$54,40+R$1,00). Qual o motivo desse 1,00?","@171261 Olá Jair, por razões de segurança, recomendamos não compartir informação pessoal como número do pedido por este meio. 1/3",random,PAYMENT_ISSUE,0.97,True,Customer is disputing an unexpected extra charge on their order,True,PAYMENT_ISSUE,False,
11,"@AmazonHelp This 3 images shows that the mention order has been returned on 16-11-17 and therefore I filled a Safe T claim on 18-11-17 and my claim got denied with reason ""Your claim was not filed within the eligibility window"". Where is the justice? Need response asap. https://t.co/9yo4HahSwT",@274962 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.,random,RETURN_REFUND,0.96,True,Customer is angry about a denied return claim and demanding immediate response,True,RETURN_REFUND,False,
12,@115830 I ordered a set of three suitcases on Black Friday. Only one has turned up. Can you fix this?,@643622 Were you provided 3 separate tracking numbers or were all three marked as shipping together? Let us know! ^ZW,random,PRODUCT_ISSUE,0.96,False,,True,DELIVERY_ISSUE,False,
13,"@AmazonHelp Hi, I’ve got some information I wanna send who do I send it too? I think you have staff that and doing dodgy stuff","@463193 Hello. I'm sorry for this experience. Can you tell us more without posting account, personal or order info? ^DO",random,CUSTOMER_COMPLAINT,0.93,True,Customer accuses Amazon staff of misconduct and wants to provide information,True,CUSTOMER_COMPLAINT,True,
14,@115850 I will sue you in the court .. what a disgusting and unprofessional behaviour,@327440 We've responded to your query here: https://t.co/vTHtHPFQFx. ^HA,random,CUSTOMER_COMPLAINT,0.97,True,Customer threatens legal action,True,CUSTOMER_COMPLAINT,True,
15,@115850 I cannot imagine how many consumers are getting cheated this way ! Awaiting your response @115850 @115821 ! #fraud,@294043 support team here: https://t.co/Ldhd8cuJB1 and we'll be happy to help. 3/3 ^SH,random,CUSTOMER_COMPLAINT,0.96,True,"User alleges fraud and expresses strong dissatisfaction, requiring escalation.",True,CUSTOMER_COMPLAINT,True,
16,@AmazonHelp @115821  thanks for the insult https://t.co/pImOhVzIgB,"@259137 Sorry to hear that, Robert. Without revealing any personal information, can you tell me a bit more about what happened?^TI",random,CUSTOMER_COMPLAINT,0.92,False,General complaint without legal threat or severe issue,True,CUSTOMER_COMPLAINT,False,
17,@AmazonHelp I just ordered something and didn't receive free delivery however I'm on an amazon Prime trial so surely should have?,@668110 Sorry for the order issues! Was the item eligible for Prime? Only Prime-eligible items will include free delivery. Items from third-party merchants may have shipping charges. ^WT,random,PAYMENT_ISSUE,0.93,False,"Standard billing question, no legal threat or high anger",True,DELIVERY_ISSUE,False,
18,My favorite is when @115821 completely ignores their prime shipping and bumps your Halloween costume delivery to after Halloween,@433767 I'm sorry to hear this. What's the date given in your confirmation e-mail and in Your Orders: https://t.co/Y5jpI9gRhE? ^LI,random,DELIVERY_ISSUE,0.96,False,"Standard delivery complaint, can be handled automatically",True,DELIVERY_ISSUE,False,
19,@115850 My mobile is 9069508900,@132180 We can connect with your urgency here. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B . Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^CB,random,ORDER_STATUS,0.65,False,Message does not contain a clear complaint or issue; likely providing contact info for order follow‑up.,True,CUSTOMER_COMPLAINT,False,
20,@AmazonHelp Will do. Thanks,@495726 Do keep us posted if you have any further concerns. ^AS,random,CUSTOMER_COMPLAINT,0.4,False,Message is ambiguous and does not clearly match any specific intent,True,ORDER_STATUS,False,
21,@AmazonHelp Even if i pay extra?,@799624 It seems that the item you're purchasing isn't eligible for same day delivery. More info here:https://t.co/rfeSGkq31E.^CN,random,PAYMENT_ISSUE,0.85,False,Not a legal threat or highly angry; standard payment question can be auto‑handled.,True,PAYMENT_ISSUE,False,
22,@115850 @135789 @146956 @2517 @115821 Amazon Fake delivery Apple Watch @115858 @AppleSupport @AmazonHelp https://t.co/NSDyN3ww3S,"@305710 I'd like to personally investigate this, please share your details here: https://t.co/GIJyeYqKE0. I'll contact you soon. 2/3 ^PS",random,PRODUCT_ISSUE,0.93,False,"Standard product complaint, no legal threat or payment dispute",True,PRODUCT_ISSUE,True,
23,Thanks @115830 I was only sat 3 metres from my front door when your courier decided to leave my parcel in the mud outside instead of knocking 🙄 https://t.co/HZQ1UdeoMg,@231092 I'm sorry your parcel wasn't brought to your door. Please e-mail us with this feedback here: https://t.co/JzP7hlA23B We'll make sure it's reviewed by the appropriate team. ^MG,random,DELIVERY_ISSUE,0.96,False,"Customer is reporting a problem with how the parcel was delivered, not a legal or high‑severity issue.",True,DELIVERY_ISSUE,False,
24,@AmazonHelp Encore faut-il pouvoir le contacter,"@219492 Oui je vous prie , via le lien suivant :  https://t.co/hgIrz98cdI ^BR",random,CUSTOMER_COMPLAINT,0.92,False,"General dissatisfaction, not a legal or high‑severity issue",True,CUSTOMER_COMPLAINT,False,
25,"@AmazonHelp Trust me, it’s not that... It cleared up after the first commercial break.  Every app does that.  The 2015 model didn’t do that.","@427424 If you're still having trouble after following troubleshooting steps, please reach out to us here: https://t.co/hApLpMlfHN ^HC",random,TECHNICAL_ISSUE,0.92,False,"Standard technical question, no signs of anger or legal issues",True,TECHNICAL_ISSUE,False,
26,"@115850  Is it true and official offered by Amazon India??????

 ""Congratz! Rs.5000 has been credited to your Amazon Pay Balance wallet. Valid till Midnight 11: 59 PM."" https://t.co/lsEzwgbTe5","@752093 The message you received wasn't from Amazon.in. We recommend that you delete the e-mail/ do not respond. For your protection, do not respond to it, and do not open any attachments or click any links it contains. ^AR",random,PAYMENT_ISSUE,0.96,True,"User is questioning legitimacy of a credit to Amazon Pay Balance, indicating possible fraud or scam.",True,PAYMENT_ISSUE,True,
27,Hey @115830 please pay my seller funds which has been held for over 115 days! __email__ https://t.co/KHJaKkECTA,"@742000 Sorry you are having this issue. Let's have someone look into this. 
 https://t.co/JzP7hlA23B. Please contact us here. ^BT",random,PAYMENT_ISSUE,0.93,True,"Seller is disputing held funds and requesting payment, which may require specialized handling.",True,PAYMENT_ISSUE,False,
28,@AmazonHelp Dans ce cas annulez ma commande et remboursez moi,@753784 Vous avez la possibilité d'annuler une commande depuis votre compte via: https://t.co/9Bgwmkd3v3 ou en contactant notre SAV ^KE,random,RETURN_REFUND,0.97,False,,True,RETURN_REFUND,False,
29,@AmazonHelp Yes been in contact with cust services. Not sure but it seems that it is DPD deliveries. Deliveries seem to be a mess at the moment when usually dependable. I can wait for most things but an item that I needed yesterday didn't turn up which has caused a problem.,@146670 What were you advised by the associate?^SM,random,DELIVERY_ISSUE,0.96,False,"Customer reports a missed delivery causing inconvenience, but no legal threat or extreme anger.",True,DELIVERY_ISSUE,False,
30,@AmazonHelp No can you tell me how to make a compliant it's easier,@423199 Please call us on the number found via this link: https://t.co/zYVX1Qi29G so this can be escalated. ^JJ,random,CUSTOMER_COMPLAINT,0.92,False,"User is asking how to file a complaint, not a legal threat or urgent issue",True,CUSTOMER_COMPLAINT,False,
